"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.8_OPT","se_h0.8_OPT","pval_h0.8_OPT","n_l_h0.8_OPT","n_r_h0.8_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"pct_VPH_C_ELEC",-3e-04,0.0481,0.8509,21,11,0.0066,0.0359,0.9052,37,13,0.0122,0.0317,0.9455,57,14,0.0178,0.0252,0.663,128,21
"no_pct_VPH_C_ELEC",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pct_VPH_AGUADV",-0.008,0.0804,0.7066,21,11,-0.0073,0.0607,0.9667,37,13,-0.0019,0.0536,0.887,57,14,-1e-04,0.0422,0.9785,128,21
"no_pct_VPH_AGUADV",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pct_VPH_PISODT",-0.0111,0.0688,0.9874,21,11,-0.0038,0.0523,0.8899,37,13,-0.0031,0.0472,0.8712,57,14,-3e-04,0.0386,0.9688,128,21
"no_pct_VPH_PISODT",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pct_VPH_PISOTI",0.0106,0.0365,0.7609,21,11,0.0106,0.0327,0.7301,37,13,0.016,0.0316,0.7654,57,14,0.0204,0.0265,0.66,128,21
"no_pct_VPH_PISOTI",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pct_VPH_1CUART",0.0094,0.0409,0.9993,21,11,0.0222,0.0362,0.9511,37,13,0.0344,0.035,0.7535,57,14,0.0398,0.0297,0.3766,128,21
"no_pct_VPH_1CUART",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"n_schools_avg",5.1715,4.8112,0.3441,21,11,3.7398,4.7391,0.2126,37,13,2.6772,4.4553,0.2744,57,14,0.6516,3.8879,0.2873,128,21
