"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"t3s2r4_avg",-1.0072,0.9893,0.8288,9,10,-0.8367,0.7034,0.0657,14,15,-0.3883,0.7266,0.077,19,20,-0.2077,0.7273,0.2068,24,25,-0.0301,0.6915,0.2794,29,30,-0.034,0.4523,0.6931,60,173
"no_t3s2r4_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"otros_avg",0.1022,0.4773,0.5092,9,10,-3e-04,0.3556,0.7426,14,15,0.0322,0.2989,0.9707,19,20,0.0409,0.2635,0.9386,24,25,0.0515,0.2364,0.9594,29,30,-0.0049,0.118,0.637,60,173
"no_otros_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"aa_avg",8.1317,36.5772,0.6061,9,10,2.7858,33.2032,0.7818,14,15,2.9257,32.732,0.9203,19,20,2.1245,30.8886,0.8825,24,25,-0.3395,28.85,0.8437,29,30,-6.3485,16.4932,0.7528,60,173
"no_aa_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"bb_avg",-1.275,2.3734,0.4325,9,10,-0.648,1.6664,0.2791,14,15,-0.1721,1.3724,0.3423,19,20,-0.073,1.1788,0.567,24,25,0.05,1.0465,0.625,29,30,-0.2896,0.5886,0.7526,60,173
"no_bb_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"cc_avg",-2.9173,9.6221,0.9985,9,10,-3.6811,7.0881,0.5266,14,15,-1.2156,6.3347,0.3778,19,20,-0.344,5.7899,0.5219,24,25,0.1822,5.2324,0.6195,29,30,0.1924,3.2581,0.5145,60,173
"no_cc_avg",-0.0394,0.465,0.7144,9,10,0.0154,0.3967,0.9417,14,15,-0.0154,0.3848,0.9252,19,20,-0.0171,0.362,0.996,24,25,0.0011,0.3377,0.9392,29,30,0.0645,0.1928,0.866,60,173
"IM_2020",1.9509,3.3377,0.3087,9,10,1.0443,2.346,0.2681,14,15,0.591,1.8996,0.3509,19,20,0.4129,1.5914,0.4684,24,25,0.473,1.3852,0.6371,29,30,0.6495,0.7238,0.1736,60,173
"no_IM_2020",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"IE",3.6981,8.9011,0.7564,9,10,2.8092,8.6085,0.6318,14,15,2.2281,8.2261,0.682,19,20,2.7205,7.7483,0.7761,24,25,2.3837,7.1962,0.685,29,30,2.4414,2.4034,0.496,60,173
"no_IE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"TCVCU",-1.697,15.145,0.7085,9,10,0.1116,10.5336,0.7322,14,15,-1.0922,8.3757,0.9444,19,20,-0.933,6.8534,0.9277,24,25,-0.4306,6.3108,0.85,29,30,-1.554,4.0883,0.9829,60,173
"no_TCVCU",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"ICE",4.2048,9.6126,0.706,9,10,3.0752,9.0458,0.5941,14,15,2.3852,8.5531,0.6549,19,20,2.8316,8.0118,0.7547,24,25,2.5033,7.4179,0.6762,29,30,2.6175,2.484,0.4506,60,173
"no_ICE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"VIVPAR_HAB",61193.297,130121.2745,0.4056,9,10,20902.5828,99985.2228,0.3566,14,15,-1831.9105,85353.6177,0.4969,19,20,-6150.3125,74613.3903,0.7586,24,25,-4770.1202,66250.5801,0.9706,29,30,44216.6435,30899.1767,0.6784,60,173
