municipio,CVEGEO,tdpa_mean,no_tdpa_mean,punto_generador_count,no_punto_generador_count,m_mean,no_m_mean,a_mean,no_a_mean,b_mean,no_b_mean,c2_mean,no_c2_mean,c3_mean,no_c3_mean,t3s2_mean,no_t3s2_mean,t3s3_mean,no_t3s3_mean,t3s2r4_mean,no_t3s2r4_mean,otros_mean,no_otros_mean,aa_mean,no_aa_mean,bb_mean,no_bb_mean,cc_mean,no_cc_mean
Champotón,04004,3077.9824561403507,0,8.0,0,14.286842105263158,0,66.64912280701755,0,2.2157894736842105,0,6.074561403508772,0,1.736842105263158,0,4.684210526315789,0,1.1859649122807017,0,2.7359649122807017,0,0.4307017543859649,0,80.93596491228071,0,2.2157894736842105,0,16.84824561403509,0
Hecelchakán,04005,5067.630952380952,0,7.0,0,3.7642857142857142,0,72.66190476190476,0,3.5999999999999996,0,4.877380952380952,0,2.3321428571428573,0,6.727380952380953,0,1.3904761904761904,0,3.9845238095238096,0,0.6619047619047619,0,76.42619047619048,0,3.5999999999999996,0,19.973809523809525,0
Hopelchén,04006,1467.12,0,2.0,0,12.702,0,71.506,0,1.008,0,10.735999999999999,0,1.318,0,1.406,0,0.512,0,0.6920000000000001,0,0.12,0,84.208,0,1.008,0,14.784,0
Palizada,04007,1677.2037037037037,0,3.0,0,6.131481481481482,0,70.67592592592592,0,3.0333333333333337,0,8.077777777777778,0,2.7,0,4.607407407407408,0,1.2462962962962962,0,3.1203703703703702,0,0.4074074074074074,0,76.80740740740741,0,3.0333333333333337,0,20.159259259259258,0
Tenabo,04008,4784.4358974358975,0,3.0,0,3.842307692307692,0,74.72948717948718,0,3.0666666666666664,0,4.7615384615384615,0,2.117948717948718,0,5.7987179487179485,0,1.4435897435897438,0,3.6666666666666665,0,0.5730769230769232,0,78.57179487179488,0,3.0666666666666664,0,18.361538461538462,0
Escárcega,04009,4142.866666666667,0,3.0,0,7.6925,0,66.07,0,3.881666666666667,0,6.4425,0,1.9133333333333333,0,6.575,0,1.7791666666666666,0,4.844166666666666,0,0.8016666666666666,0,73.7625,0,3.881666666666667,0,22.355833333333333,0
Calakmul,04010,2388.2,0,2.0,0,6.04,0,65.26,0,5.305,0,7.26,0,1.975,0,6.45,0,1.875,0,5.1,0,0.735,0,71.3,0,5.305,0,23.395,0
Candelaria,04011,1202.86,0,4.0,0,12.834000000000001,0,78.796,0,0.754,0,5.132000000000001,0,0.9440000000000001,0,0.924,0,0.276,0,0.244,0,0.096,0,91.63,0,0.754,0,7.6160000000000005,0
Seybaplaya,04012,2369.2022471910113,0,5.0,0,8.782022471910112,0,70.53707865168539,0,2.4157303370786516,0,5.857303370786516,0,2.048314606741573,0,5.612359550561798,0,1.0359550561797752,0,3.2966292134831456,0,0.4146067415730337,0,79.3191011235955,0,2.4157303370786516,0,18.265168539325842,0
Dzitbalch√©,04013,5158.285714285715,0,2.0,0,4.071428571428571,0,70.45714285714286,0,3.6357142857142857,0,4.935714285714285,0,1.95,0,8.057142857142857,0,1.55,0,4.5,0,0.8428571428571429,0,74.52857142857144,0,3.6357142857142857,0,21.835714285714285,0
