"CVEGEO","NOMGEO","homicidios_total","robos_total","n_inseguro_popw"
"13065","Tetepango",1,0,NA
"13063","Tepeji del Río de Ocampo",10,40.9999999999998,47303.79314
"13033","Juárez Hidalgo",0,0,NA
"13013","Atotonilco de Tula",5,20,NA
"13014","Calnali",0,0,7382.714405
"13015","Cardonal",0,2,NA
"13016","Cuautepec de Hinojosa",5.99999999999998,11,33532.27346
"13021","Emiliano Zapata",2,5,NA
"13005","Ajacuba",2,0,NA
"13017","Chapantongo",0,0,3096.695669
"13066","Villa de Tezontepec",5.99999999999998,8.99999999999998,NA
"13067","Tezontepec de Aldama",12,6.99999999999999,29094.47767
"13044","Nopala de Villagrán",6.99999999999999,0,NA
"13045","Omitlán de Juárez",0,0,NA
"13046","San Felipe Orizatlán",0,0,NA
"13039","Mineral del Monte",0,0,NA
"13047","Pacula",0,0,NA
"13049","Pisaflores",2,0,7124.186205
"13077","Tulancingo de Bravo",18,125,83747.69183
"13062","Tepehuacán de Guerrero",1,0,7599.351648
"13003","Actopan",3.99999999999998,11,26471.30984
"13002","Acaxochitlán",3,31,21376.31583
"13001","Acatlán",0,1,NA
"13061","Tepeapulco",3,16,NA
"13058","Tasquillo",0,0,6203.896223
"13073","Tlanchinol",5.99999999999998,0,15196.38169
"13072","Tlanalapa",2,5,3153.344602
"13059","Tecozautla",0,0,15492.10637
"13060","Tenango de Doria",0,2,NA
"13012","Atotonilco el Grande",2,1,NA
"13011","Atlapexco",1,0,NA
"13040","La Misión",0,0,NA
"13042","Molango de Escamilla",0,0,4232.883851
"13056","Santiago Tulantepec de Lugo Guerrero",2,11,20320.53253
"13057","Singuilucan",1,10,9197.453839
"13084","Zimapán",1,1,18513.87352
"13075","Tolcayuca",5,18,7923.035167
"14122","Zapotitlán de Vadillo",0,0,NA
"14019","Bolaños",0,0,NA
"14065","Pihuamo",0,0,1823.136855
"14101","Tonalá",93.9999999999998,270,277980.303
"14076","San Martín de Bolaños",0,0,NA
"14023","Zapotlán el Grande",6.99999999999999,15,45037.47168
"14074","San Julián",0,0,NA
"14073","San Juan de los Lagos",3.99999999999998,6.99999999999999,36505.12753
"14062","Mixtlán",0,0,NA
"14113","San Gabriel",0,1,NA
"14087","Tecalitlán",1,2,NA
"14014","Atoyac",0,3,NA
"14015","Autlán de Navarro",0,2,21752.06518
"14097","Tlajomulco de Zúñiga",144,239,318159.5169
"14055","Magdalena",0,8.99999999999998,4933.604651
"14063","Ocotlán",2,21,46672.23963
"14086","Tapalpa",0,1,NA
"14043","La Huerta",1,0,NA
"14116","Villa Hidalgo",3.99999999999998,0,NA
"14012","Atenguillo",2,0,NA
"14117","Cañadas de Obregón",0,0,NA
"14118","Yahualica de González Gallo",0,0,NA
"14017","Ayutla",0,0,NA
"14119","Zacoalco de Torres",2,5,NA
"14120","Zapopan",108,255,638220.8105
"14121","Zapotiltic",1,1,NA
"14123","Zapotlán del Rey",1,37.9999999999997,NA
"14069","Quitupan",1,0,NA
"14112","Valle de Juárez",0,0,NA
"14111","Valle de Guadalupe",1,5.99999999999998,NA
"14079","Gómez Farías",0,5,4117.63267
"14078","San Miguel el Alto",1,3.99999999999998,10674.43623
"14077","San Martín Hidalgo",1,3.99999999999998,11977.93442
"14075","San Marcos",0,2,NA
"14098","San Pedro Tlaquepaque",205,737.999999999997,391286.6248
"14105","Tototlán",0,5,NA
"14104","Totatiche",0,1,NA
"14103","Tonila",0,5.99999999999998,513.134824
"14024","Cocula",1,5,10218.33276
"14102","Tonaya",0,0,NA
"14100","Tomatlán",3,0,8323.250092
"14099","Tolimán",1,0,NA
"14093","Tepatitlán de Morelos",3,22,46410.50355
"14124","Zapotlanejo",5,52.9999999999997,20400.85987
"14115","Villa Guerrero",1,0,NA
"14021","Casimiro Castillo",1,1,NA
"14070","El Salto",46.9999999999999,236,112196.2699
"14020","Cabo Corrientes",2,0,NA
"14018","La Barca",2,12,NA
"14051","Juanacatlán",2,14,13320.72746
"14044","Ixtlahuacán de los Membrillos",5,12,NA
"14039","Guadalajara",149,501.999999999998,854299.019
"14022","Cihuatlán",2,3,12186.33875
"14016","Ayotlán",0,5.99999999999998,NA
"14080","San Sebastián del Oeste",1,0,NA
"14125","San Ignacio Cerro Gordo",0,2,4982.224154
"14072","San Diego de Alejandría",0,1,749.5527157
"14066","Poncitlán",3.99999999999998,7.99999999999997,NA
"14110","Unión de Tula",0,0,636.0813283
"14092","Teocuitatlán de Corona",1,1,NA
"14091","Teocaltiche",32,1,NA
"14002","Acatlán de Juárez",1,35,NA
"14003","Ahualulco de Mercado",3,10,NA
"14005","Amatitán",3.99999999999998,3,NA
"14109","Unión de San Antonio",3,1,NA
"14108","Tuxpan",3,14,1044.115733
"14088","Tecolotlán",1,2,NA
