CVEGEO,longitud_sum,carriles_mean,share_cuota
31042,72.97,3.0,0.5
31043,30.119999999999997,2.0,0.0
31044,27.0,2.0,0.0
31050,330.48,3.4054054054054053,0.13513513513513514
31052,24.0,2.0,0.0
31053,95.97,2.0,0.0
31056,13.4,2.0,0.0
31058,42.1,2.0,0.0
31059,19.74,4.0,0.0
31061,24.0,2.0,0.0
31065,3.1,2.0,0.0
31066,26.9,2.0,0.0
31074,24.23,4.0,0.0
31076,23.950000000000003,4.0,0.0
31079,32.7,2.0,0.0
31081,7.75,2.0,0.0
31084,16.0,2.0,0.0
31085,39.1,2.0,0.0
31088,82.45,3.3333333333333335,0.0
31089,21.4,2.0,0.0
31092,26.2,2.0,0.0
31093,28.3,2.6666666666666665,0.0
31096,28.1,2.0,0.0
31098,34.3,2.0,0.0
31101,14.61,3.0,0.0
31102,225.76,2.4615384615384617,0.3076923076923077
31103,7.38,2.0,0.0
32001,52.96,2.0,0.0
32004,163.6,2.0,0.0
32008,40.72,4.0,0.0
32010,88.1,2.6666666666666665,0.0
32011,22.0,2.0,0.0
32019,30.01,2.0,0.0
32020,60.0,2.0,0.0
32022,53.2,2.0,0.0
32025,60.300000000000004,2.0,0.0
32030,7.8,2.0,0.0
32032,44.7,4.0,0.0
32037,79.5,2.0,0.0
32039,67.74,2.0,0.0
32042,28.58,2.0,0.0
32044,66.3,2.0,0.0
32046,36.05,2.0,0.0
32048,100.0,2.0,0.0
32049,19.0,2.0,0.0
32054,30.85,2.0,0.0
32055,33.43,2.0,0.0
32056,324.21,4.0,0.125
