"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"07068","Pichucalco",8594,0,31919,0,0.078194088899232,0,0.984640446823365,0,0.915522457528508,0,0.930882010705143,0,0.0673725855247847,0,0.159529904584594,0
"07027","Chiapa de Corzo",29321,0,112075,0,0.0331503018314519,0,0.999181474028853,0,0.934961290542614,0,0.947477916851403,0,0.0587633436785921,0,0.148016779782409,0
"07048","Juárez",6094,0,21807,0,0.0623564161470299,0,0.99245159172957,0,0.870692484410896,0,0.935510338037414,0,0.0635050869707909,0,0.11437479488021,0
"07046","Jiquipilas",11166,0,41063,0,0.0506000358230342,0,0.993641411427548,0,0.932204907755687,0,0.923696937130575,0,0.0830198817839871,0,0.0874977610603618,0
"07105","Unión Juárez",3846,0,16008,0,0.0374414976599064,0,1.00780031201248,0,1.00858034321373,0,0.943577743109724,0,0.0761830473218929,0,0.112324492979719,0
"07100","Tumbalá",7859,0,38025,0,0.247232472324723,0,0.97200661661789,0,0.832294185010816,0,0.89820587861051,0,0.11273698943886,0,0.0712558849726428,0
"07045","Ixtapangajoya",1532,0,6284,0,0.14621409921671,0,0.956266318537859,0,0.961488250652741,0,0.842036553524804,0,0.155352480417755,0,0.0998694516971279,0
"07114","Benemérito de las Américas",5447,0,23603,0,0.14833853497338,0,0.972278318340371,0,0.886359463925096,0,0.889296860657243,0,0.108316504497889,0,0.153111804663117,0
"07028","Chiapilla",1626,0,6156,0,0.038130381303813,0,0.988314883148832,0,0.984624846248462,0,0.969249692496925,0,0.0301353013530135,0,0.277367773677737,0
"07029","Chicoasén",1460,0,5402,0,0.0678082191780822,0,1.0027397260274,0,0.941095890410959,0,0.925342465753425,0,0.0828767123287671,0,0.241095890410959,0
"07091","Tapilula",3458,0,13592,0,0.092539039907461,0,0.990167727009832,0,0.977154424522846,0,0.898785425101215,0,0.100057836899942,0,0.142857142857143,0
"07073","Rayón",2359,0,10866,0,0.122085629504027,0,1.00508690122933,0,0.881305637982196,0,0.872403560830861,0,0.145824501907588,0,0.108944467994913,0
"07030","Chicomuselo",8784,0,36785,0,0.0747950819672131,0,0.978825136612022,0,0.906762295081967,0,0.849954462659381,0,0.149020947176685,0,0.10200364298725,0
"07044","Ixtapa",6166,0,28999,0,0.125040544923776,0,0.988323061952644,0,0.971942912747324,0,0.851281219591307,0,0.145475186506649,0,0.126337982484593,0
"07008","Ángel Albino Corzo",7281,0,31947,0,0.0714187611591814,0,0.970883120450488,0,0.967724213706908,0,0.842466694135421,0,0.149017992034061,0,0.147095179233622,0
"07009","Arriaga",12349,0,41135,0,0.0356304154182525,0,0.986557616001296,0,0.868815288687343,0,0.968742408292169,0,0.0300429184549356,0,0.120333630253462,0
"07031","Chilón",25782,0,137262,0,0.362733690171437,0,0.967923357381119,0,0.893103715770693,0,0.784772321774882,0,0.248312776355597,0,0.0452641377705376,0
